x1,x2,x3,x4,q,income,cost_part,cost_assembly,cost_final_test,cost_disassemble,cost_recover,cost_switch,profit,情形,是否最优
1,0,0,0,0.3599999999999999,52.625,39.8437,9.375,0.0,0.0,0.0,3.375,3.4063,2,
1,1,1,0,0.19999999999999996,56.0,42.1875,7.5,3.75,0.0,0.0,0.0,2.5625,2,
1,0,1,0,0.3599999999999999,56.0,39.8437,9.375,4.6875,0.0,0.0,0.0,2.0938,2,
0,1,0,0,0.3599999999999999,52.625,47.2656,9.375,0.0,0.0,0.0,3.375,-4.0156,2,
0,0,0,0,0.4879999999999999,50.2812,42.9687,11.7187,0.0,0.0,0.0,5.7187,-4.4062,2,
0,0,1,0,0.4879999999999999,56.0,42.9687,11.7187,5.8594,0.0,0.0,0.0,-4.5469,2,
0,1,1,0,0.3599999999999999,56.0,47.2656,9.375,4.6875,0.0,0.0,0.0,-5.3281,2,
0,0,1,1,0.2709999999999999,56.0,22.0,8.2305,4.1152,1.8587,0.0,0.0,19.7956,3,★
1,0,1,1,0.18999999999999995,56.0,24.6667,7.4074,3.7037,1.1728,0.6255,0.0,18.4239,3,
0,1,1,1,0.18999999999999995,56.0,27.3333,7.4074,3.7037,1.1728,1.251,0.0,15.1317,3,
1,0,0,1,0.18999999999999995,48.963,24.6667,7.4074,0.0,1.1728,0.6255,7.037,15.0905,3,
1,1,0,1,0.09999999999999998,52.6667,30.0,6.6667,0.0,0.5556,0.8889,3.3333,14.5556,3,
1,1,1,1,0.09999999999999998,56.0,30.0,6.6667,3.3333,0.5556,0.8889,0.0,14.5556,3,
1,0,1,0,0.18999999999999995,56.0,30.4527,7.4074,3.7037,0.0,0.0,0.0,14.4362,3,
0,0,1,0,0.2709999999999999,56.0,30.1783,8.2305,4.1152,0.0,0.0,0.0,13.476,3,
0,0,0,1,0.2709999999999999,44.8477,22.0,8.2305,0.0,1.8587,0.0,11.1523,12.7586,3,
1,1,0,0,0.09999999999999998,52.6667,33.3333,6.6667,0.0,0.0,0.0,3.3333,12.6667,3,
1,1,1,0,0.09999999999999998,56.0,33.3333,6.6667,3.3333,0.0,0.0,0.0,12.6667,3,
0,1,0,1,0.18999999999999995,48.963,27.3333,7.4074,0.0,1.1728,1.251,7.037,11.7984,3,
0,1,1,0,0.18999999999999995,56.0,33.7449,7.4074,3.7037,0.0,0.0,0.0,11.144,3,
1,0,0,0,0.18999999999999995,48.963,30.4527,7.4074,0.0,0.0,0.0,7.037,11.1029,3,
0,1,0,0,0.18999999999999995,48.963,33.7449,7.4074,0.0,0.0,0.0,7.037,7.8107,3,
0,0,0,0,0.2709999999999999,44.8477,30.1783,8.2305,0.0,0.0,0.0,11.1523,6.439,3,
1,0,1,1,0.3599999999999999,56.0,24.25,9.375,3.125,2.8125,1.2656,0.0,15.1719,4,★
0,0,1,1,0.4879999999999999,56.0,22.0,11.7187,3.9062,4.7656,0.0,0.0,13.6094,4,
1,1,1,1,0.19999999999999996,56.0,30.0,7.5,2.5,1.25,2.0,0.0,12.75,4,
0,1,1,1,0.3599999999999999,56.0,27.75,9.375,3.125,2.8125,3.2344,0.0,9.7031,4,
1,1,1,0,0.19999999999999996,56.0,37.5,7.5,2.5,0.0,0.0,0.0,8.5,4,
1,1,0,1,0.19999999999999996,48.5,30.0,7.5,0.0,1.25,2.0,7.5,7.75,4,
1,0,1,0,0.3599999999999999,56.0,37.8906,9.375,3.125,0.0,0.0,0.0,5.6094,4,
1,1,0,0,0.19999999999999996,48.5,37.5,7.5,0.0,0.0,0.0,7.5,3.5,4,
1,0,0,1,0.3599999999999999,39.125,24.25,9.375,0.0,2.8125,1.2656,16.875,1.4219,4,
0,1,1,0,0.3599999999999999,56.0,43.3594,9.375,3.125,0.0,0.0,0.0,0.1406,4,
0,0,1,0,0.4879999999999999,56.0,42.9687,11.7187,3.9062,0.0,0.0,0.0,-2.5937,4,
0,1,0,1,0.3599999999999999,39.125,27.75,9.375,0.0,2.8125,3.2344,16.875,-4.0469,4,
1,0,0,0,0.3599999999999999,39.125,37.8906,9.375,0.0,0.0,0.0,16.875,-8.1406,4,
0,0,0,1,0.4879999999999999,27.4063,22.0,11.7187,0.0,4.7656,0.0,28.5937,-11.0781,4,
0,1,0,0,0.3599999999999999,39.125,43.3594,9.375,0.0,0.0,0.0,16.875,-13.6094,4,
0,0,0,0,0.4879999999999999,27.4063,42.9687,11.7187,0.0,0.0,0.0,28.5937,-27.2812,4,
0,0,1,1,0.35199999999999987,56.0,22.0,9.2593,3.0864,2.716,0.0,0.0,18.9383,5,★
0,0,0,1,0.35199999999999987,50.5679,22.0,9.2593,0.0,2.716,0.0,5.4321,16.5926,5,
0,1,0,1,0.18999999999999995,53.6543,27.75,7.4074,0.0,1.1728,1.3488,2.3457,15.9753,5,
0,1,1,1,0.18999999999999995,56.0,27.75,7.4074,2.4691,1.1728,1.3488,0.0,15.8519,5,
0,1,0,0,0.18999999999999995,53.6543,34.2593,7.4074,0.0,0.0,0.0,2.3457,11.9877,5,
0,1,1,0,0.18999999999999995,56.0,34.2593,7.4074,2.4691,0.0,0.0,0.0,11.8642,5,
0,0,1,0,0.35199999999999987,56.0,33.9506,9.2593,3.0864,0.0,0.0,0.0,9.7037,5,
1,1,0,1,0.09999999999999998,54.8889,37.0833,6.6667,0.0,0.5556,1.6759,1.1111,8.9074,5,
1,0,1,1,0.2799999999999999,56.0,31.3333,8.3333,2.7778,1.9444,3.6296,0.0,7.9815,5,
1,1,1,1,0.09999999999999998,56.0,37.0833,6.6667,2.2222,0.5556,1.6759,0.0,7.7963,5,
0,0,0,0,0.35199999999999987,50.5679,33.9506,9.2593,0.0,0.0,0.0,5.4321,7.358,5,
1,1,0,0,0.09999999999999998,54.8889,41.2037,6.6667,0.0,0.0,0.0,1.1111,7.0185,5,
1,0,0,1,0.2799999999999999,52.1111,31.3333,8.3333,0.0,1.9444,3.6296,3.8889,6.8704,5,
1,1,1,0,0.09999999999999998,56.0,41.2037,6.6667,2.2222,0.0,0.0,0.0,5.9074,5,
1,0,1,0,0.2799999999999999,56.0,43.5185,8.3333,2.7778,0.0,0.0,0.0,1.3704,5,
1,0,0,0,0.2799999999999999,52.1111,43.5185,8.3333,0.0,0.0,0.0,3.8889,0.2593,5,
0,0,0,0,0.1426250000000001,54.3365,25.6597,6.9981,0.0,0.0,0.0,1.6635,21.6787,6,★
1,0,0,0,0.09750000000000003,54.9197,26.9427,6.6482,0.0,0.0,0.0,1.0803,21.3288,6,
0,0,1,0,0.1426250000000001,56.0,25.6597,6.9981,3.4991,0.0,0.0,0.0,19.8431,6,
1,0,0,1,0.09750000000000003,54.9197,24.3158,6.6482,0.0,4.3213,0.2502,1.0803,19.3842,6,
0,1,0,0,0.09750000000000003,54.9197,28.9255,6.6482,0.0,0.0,0.0,1.0803,19.346,6,
1,1,0,0,0.050000000000000044,55.4737,29.9169,6.3158,0.0,0.0,0.0,0.5263,19.241,6,
1,0,1,0,0.09750000000000003,56.0,26.9427,6.6482,3.3241,0.0,0.0,0.0,19.085,6,
0,0,0,1,0.1426250000000001,54.3365,22.0,6.9981,0.0,6.654,0.0,1.6635,18.6844,6,
1,1,0,1,0.050000000000000044,55.4737,28.4211,6.3158,0.0,2.1053,0.338,0.5263,18.2936,6,
0,1,0,1,0.09750000000000003,54.9197,26.1053,6.6482,0.0,4.3213,0.4435,1.0803,17.4014,6,
1,0,1,1,0.09750000000000003,56.0,24.3158,6.6482,3.3241,4.3213,0.2502,0.0,17.1404,6,
0,1,1,0,0.09750000000000003,56.0,28.9255,6.6482,3.3241,0.0,0.0,0.0,17.1022,6,
0,0,1,1,0.1426250000000001,56.0,22.0,6.9981,3.4991,6.654,0.0,0.0,16.8488,6,
1,1,1,0,0.050000000000000044,56.0,29.9169,6.3158,3.1579,0.0,0.0,0.0,16.6094,6,
1,1,1,1,0.050000000000000044,56.0,28.4211,6.3158,3.1579,2.1053,0.338,0.0,15.662,6,
0,1,1,1,0.09750000000000003,56.0,26.1053,6.6482,3.3241,4.3213,0.4435,0.0,15.1576,6,
