参数,参数值,说明,最优策略,策略编号,期望利润
d2,2.0,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,2.25,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,2.5,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,2.75,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,3.0,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,3.25,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,3.5,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,3.75,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,4.0,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,4.25,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,4.5,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,4.75,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,5.0,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,5.25,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,5.5,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,5.75,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,6.0,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,6.25,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,6.5,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,6.75,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,7.0,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,7.25,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,7.5,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,7.75,零配件2检测费,"(0,0,0,1)",1,21.6804
d2,8.0,零配件2检测费,"(0,0,0,1)",1,21.6804
r,2.0,不合格成品调换损失,"(0,0,0,1)",1,23.1674
r,4.0,不合格成品调换损失,"(0,0,0,1)",1,22.4239
r,6.0,不合格成品调换损失,"(0,0,0,1)",1,21.6804
r,8.0,不合格成品调换损失,"(0,0,0,1)",1,20.9369
r,10.0,不合格成品调换损失,"(0,0,0,1)",1,20.1934
r,12.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,14.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,16.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,18.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,20.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,22.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,24.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,26.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,28.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,30.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,32.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,34.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,36.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,38.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
r,40.0,不合格成品调换损失,"(0,0,1,1)",3,19.7956
f,1.0,不合格成品拆解费用,"(0,0,0,1)",1,23.1674
f,2.0,不合格成品拆解费用,"(0,0,0,1)",1,22.7956
f,3.0,不合格成品拆解费用,"(0,0,0,1)",1,22.4239
f,4.0,不合格成品拆解费用,"(0,0,0,1)",1,22.0521
f,5.0,不合格成品拆解费用,"(0,0,0,1)",1,21.6804
f,6.0,不合格成品拆解费用,"(0,0,0,1)",1,21.3086
f,7.0,不合格成品拆解费用,"(0,0,0,1)",1,20.9369
f,8.0,不合格成品拆解费用,"(0,0,0,1)",1,20.5652
f,9.0,不合格成品拆解费用,"(0,0,0,1)",1,20.1934
f,10.0,不合格成品拆解费用,"(0,0,0,1)",1,19.8217
f,11.0,不合格成品拆解费用,"(0,0,0,1)",1,19.4499
f,12.0,不合格成品拆解费用,"(0,0,0,1)",1,19.0782
f,13.0,不合格成品拆解费用,"(1,0,0,1)",9,18.8436
f,14.0,不合格成品拆解费用,"(1,0,0,1)",9,18.6091
f,15.0,不合格成品拆解费用,"(1,0,0,1)",9,18.3745
s,30.0,市场售价,"(0,0,0,1)",1,-4.3196
s,35.0,市场售价,"(0,0,0,1)",1,0.6804
s,40.0,市场售价,"(0,0,0,1)",1,5.6804
s,45.0,市场售价,"(0,0,0,1)",1,10.6804
s,50.0,市场售价,"(0,0,0,1)",1,15.6804
s,55.0,市场售价,"(0,0,0,1)",1,20.6804
s,60.0,市场售价,"(0,0,0,1)",1,25.6804
s,65.0,市场售价,"(0,0,0,1)",1,30.6804
s,70.0,市场售价,"(0,0,0,1)",1,35.6804
s,75.0,市场售价,"(0,0,0,1)",1,40.6804
s,80.0,市场售价,"(0,0,0,1)",1,45.6804
s,85.0,市场售价,"(0,0,0,1)",1,50.6804
s,90.0,市场售价,"(0,0,0,1)",1,55.6804
