p1,c1,d1,p2,c2,d2,p0,a,d0,s,r,f,x1,x2,x3,x4
0.2894,6.2105,9.7779,0.2661,31.526,6.8328,0.0571,12.8311,4.0347,91.8737,38.2034,2.5986,0,0,1,1
0.3239,1.0274,8.3272,0.1937,18.0981,7.9925,0.233,12.6012,5.3856,88.0463,25.3289,31.1355,1,0,1,0
0.2284,6.5386,7.7177,0.1776,34.0875,6.8297,0.3249,13.5907,7.6817,62.6776,38.0064,43.7975,1,1,1,0
0.298,3.8747,5.3578,0.1042,24.4533,8.4944,0.3001,4.1001,5.3161,74.6195,17.7405,29.1771,1,0,1,0
0.2523,3.2339,8.2848,0.1594,29.9868,3.1571,0.252,2.8415,7.2708,81.3912,43.8839,8.113,0,0,1,1
0.1224,11.359,1.3427,0.2884,18.9181,3.3407,0.0868,2.3485,6.5457,112.0263,27.6067,32.2514,1,1,0,0
0.2888,3.7589,5.1523,0.1634,13.2188,2.232,0.2484,10.1174,6.5878,109.8122,7.2191,44.1296,1,1,0,0
0.2939,9.5503,0.6419,0.2801,13.8899,8.8337,0.2475,7.5128,0.6627,83.9585,36.5863,40.5553,1,0,1,0
0.04,9.753,1.4752,0.3026,10.9182,5.3535,0.2489,3.9957,6.6746,47.2112,21.1478,1.7412,0,0,1,1
0.1103,10.2269,7.7857,0.248,22.552,5.3513,0.0684,11.7427,2.4246,78.2466,16.3396,31.565,0,1,1,1
0.0529,6.3304,0.8979,0.0914,15.4004,6.4632,0.06,13.8115,4.0362,105.7062,44.7079,17.0786,1,0,1,1
0.0464,5.2768,1.152,0.3285,30.9162,7.8329,0.2682,4.7246,6.9065,93.6782,28.4348,44.0499,1,0,1,0
0.3152,10.3102,9.4432,0.1322,10.3845,5.064,0.1316,5.6411,4.3168,62.3306,14.5163,43.148,0,0,1,0
0.0881,13.818,2.6528,0.2001,23.8977,9.2717,0.2715,14.8676,1.7976,50.2994,46.3564,41.4684,1,0,1,0
0.0704,4.5577,2.597,0.219,17.9209,3.9148,0.3179,2.3324,7.9903,73.1222,24.2092,37.7068,0,0,1,0
0.2227,9.6831,9.1039,0.2243,9.4831,2.7262,0.2042,9.1589,4.32,35.0206,4.616,17.8476,0,1,0,1
0.3005,4.6387,2.4007,0.1899,31.8041,3.2891,0.2897,3.3416,2.1859,107.6504,35.9767,12.5884,1,0,1,1
0.2155,5.2145,8.7926,0.0309,19.0895,9.2996,0.0658,13.0494,7.9401,66.8668,35.7071,5.6831,0,0,1,1
0.0449,7.7261,9.4381,0.0845,9.7564,0.7903,0.3039,14.2089,7.4794,46.5712,18.7657,30.8627,0,1,0,0
0.2971,14.1598,7.8675,0.2875,21.0276,6.7889,0.1941,10.0443,5.5741,34.3716,23.2243,11.197,0,0,1,1
0.1149,6.2557,5.4265,0.3027,36.6036,1.784,0.2578,14.7905,6.8202,57.8783,13.152,34.3765,1,1,0,1
0.0735,10.8716,7.8195,0.1941,7.948,9.8396,0.2689,6.0806,2.2004,40.379,7.8036,39.317,0,0,1,0
0.3271,4.0355,1.0721,0.1899,38.0676,0.9053,0.1697,3.8071,5.9699,57.3155,12.2897,12.3055,1,0,0,1
0.2976,6.9681,7.7192,0.141,18.3731,9.14,0.2059,2.0946,2.9432,46.6361,45.5568,5.9732,0,0,1,1
0.0355,9.9187,5.9125,0.0776,38.5856,9.24,0.1812,6.8277,1.799,84.13,17.2441,35.3864,0,0,1,1
0.0614,10.5628,9.4379,0.3287,36.3942,0.6834,0.0278,13.4498,0.8616,113.2189,18.009,13.038,0,0,1,1
0.0957,6.7109,8.576,0.1015,26.0,3.6077,0.325,12.7886,4.6459,56.3136,27.3695,30.1996,0,0,1,1
0.0375,14.6814,1.3476,0.0465,34.5703,1.7553,0.2511,11.5143,5.5304,89.2334,30.0392,16.539,0,0,1,1
0.1553,11.7303,3.9509,0.0536,34.9605,9.4952,0.1606,6.2763,6.727,36.5432,31.4099,28.0954,1,0,0,1
0.1831,11.1409,2.4167,0.3464,14.7507,1.4002,0.2308,10.2392,5.3679,110.3272,11.6736,27.032,1,1,0,0
0.2815,5.7411,9.8679,0.3297,5.1396,9.5556,0.1984,2.5394,7.6129,62.5017,33.4138,6.1672,0,0,1,1
0.3487,8.9384,8.8774,0.0225,35.6458,5.4751,0.1783,6.6921,7.6769,72.2826,48.8607,22.7103,1,0,1,1
0.2323,12.054,8.1752,0.2451,15.9139,7.3674,0.1026,7.1172,2.725,110.7551,43.1752,17.6034,0,0,1,1
0.3231,8.7724,5.4556,0.0423,20.306,7.7013,0.3066,3.6655,6.11,109.651,41.4326,2.5771,0,0,1,1
0.2215,4.6342,6.5304,0.2492,13.4137,0.3648,0.25,12.4744,0.6899,73.4634,14.8348,14.9743,0,1,1,1
0.1718,10.7393,9.0705,0.2505,24.3382,4.9853,0.2812,14.7282,7.8398,83.0054,8.4045,13.9437,0,0,0,1
0.3379,1.6869,2.8076,0.2442,24.8996,3.4821,0.1734,9.3458,7.7435,73.0206,6.7317,10.9028,1,0,0,1
0.2978,13.9051,2.1367,0.0304,37.7803,1.1486,0.1586,8.1856,7.6131,92.4262,35.3008,42.8894,1,1,0,1
0.1751,7.5315,4.6991,0.2732,37.0884,5.6928,0.2421,9.1669,2.859,87.9179,6.5778,37.5782,1,1,0,1
0.3277,4.0708,7.8574,0.2602,9.5761,2.3822,0.1835,7.9267,5.1292,52.9681,41.6615,21.9381,1,1,1,0
0.3461,9.73,7.9884,0.2906,23.3214,7.0711,0.1727,9.4634,4.0818,75.4064,34.4935,39.3633,1,1,1,0
0.0541,4.269,3.7438,0.2843,12.4822,5.3165,0.232,10.5677,1.5993,52.816,3.679,44.8248,0,0,1,0
0.2677,8.4078,8.7922,0.1618,28.9188,0.6229,0.1892,6.6457,1.5065,92.1153,6.9311,37.0671,1,1,0,1
0.0331,14.9366,4.7537,0.2043,10.0042,6.8049,0.1423,11.4131,4.8907,39.1629,14.8629,20.1487,0,1,0,1
0.0256,8.212,3.3709,0.1377,6.1871,8.5242,0.0958,5.3655,7.5948,33.4339,24.4258,19.4531,0,0,0,0
0.0499,8.217,3.9063,0.3371,21.333,8.0323,0.0387,7.5245,7.4422,57.8901,45.9199,38.9508,1,1,0,0
0.0364,9.94,8.1288,0.3069,21.5919,2.8074,0.1544,14.9787,5.9801,72.8575,33.7634,42.5886,0,1,1,0
0.3232,4.0313,9.2267,0.1881,17.6889,1.6871,0.218,10.6148,1.9839,92.7228,44.7383,42.1209,1,1,1,0
0.2323,6.6611,9.9039,0.2397,24.4165,8.1042,0.1943,14.5576,5.6952,96.0178,15.0547,29.7168,1,1,0,1
0.0969,14.6502,7.7048,0.0868,8.0717,2.2968,0.3181,6.9298,2.2243,51.6233,33.5492,33.9096,0,0,1,0
0.3169,12.4306,1.4358,0.293,14.9409,8.7518,0.0296,12.5642,5.3787,55.6155,34.9033,8.8208,1,1,0,1
0.1992,11.5092,6.5271,0.0251,7.5358,0.7841,0.0224,3.3082,6.5185,30.3139,46.2085,28.302,1,1,0,0
0.0856,1.7435,4.0331,0.0991,27.6017,6.1994,0.2473,11.1317,7.308,61.7272,46.9671,33.2279,0,0,1,0
0.2084,1.4145,6.1839,0.0438,21.9771,6.7731,0.2954,7.215,1.2085,85.9578,33.457,25.1762,1,0,1,0
0.287,6.8672,3.738,0.0859,39.6606,5.7285,0.1749,2.279,5.1138,51.0824,11.3389,15.1075,1,0,0,1
0.2521,12.8518,2.8384,0.2804,25.8074,6.6772,0.146,2.4033,5.9979,96.2752,29.0494,34.5883,1,1,0,1
0.2778,14.9337,1.6228,0.1433,31.4159,7.6217,0.159,10.373,1.5047,116.6543,21.8616,34.7431,1,0,1,1
0.0317,7.2209,6.3363,0.0992,38.0165,3.037,0.2166,6.5979,7.8857,50.5823,41.3504,11.1878,0,0,1,1
0.3018,13.4098,3.9637,0.2946,21.7478,4.1968,0.1342,8.4007,5.0838,47.5708,26.2132,11.8274,1,1,0,1
0.3291,14.1138,3.7273,0.1818,37.7341,9.6752,0.1167,10.3624,7.5628,43.1875,23.9716,42.4871,1,0,0,1
0.305,14.1929,4.454,0.1831,37.1679,6.1526,0.0478,12.5391,1.3829,39.0677,6.1179,21.6327,1,0,0,1
0.2752,9.0814,8.689,0.0268,36.4431,7.7261,0.2885,6.6624,6.8733,59.4461,37.8795,36.0538,1,0,1,1
0.282,7.5238,4.527,0.2184,36.3321,4.4512,0.3334,14.9301,3.2064,67.3599,11.6091,38.9785,1,1,1,1
0.0699,13.3265,4.7345,0.1427,20.5878,9.0728,0.119,4.2797,6.4219,80.2667,7.055,1.8618,0,0,0,1
0.3063,2.4064,6.3247,0.1189,37.9049,4.2904,0.2003,9.4003,4.4535,45.9746,38.931,25.7424,1,0,1,1
0.2537,9.142,1.5829,0.2993,27.7101,6.0795,0.1082,5.0444,4.107,49.0279,24.1332,41.6357,1,1,0,0
0.256,12.0229,1.4932,0.1995,6.9337,2.9099,0.1215,4.1084,1.1975,71.0636,35.7317,1.5948,0,0,1,1
0.1341,6.0863,9.6427,0.2788,10.5381,6.7177,0.2084,13.1416,3.2326,116.4571,27.1051,31.098,0,0,1,0
0.0251,9.8586,5.4314,0.3123,25.7508,1.5972,0.3416,5.5708,5.7553,30.0381,24.584,41.566,0,1,1,0
0.1389,8.6365,9.4955,0.2393,28.0953,7.1258,0.3199,13.6124,0.743,52.1933,11.9636,10.3137,0,0,1,1
0.2847,11.3354,6.8689,0.1449,33.9652,8.7637,0.1703,7.7292,4.301,108.1665,36.4146,19.238,0,0,1,1
0.0813,12.5048,1.7334,0.1491,31.1195,4.7974,0.0823,2.3252,0.7867,117.956,30.8406,36.1914,1,0,1,1
0.216,7.033,2.7329,0.2625,28.1806,3.0222,0.2002,13.2277,4.0587,109.1877,38.5471,16.0554,1,0,1,1
0.1486,13.6642,0.8162,0.2377,19.1479,3.3095,0.2575,12.8847,6.4844,54.6646,45.2691,34.0438,1,1,1,0
0.1743,14.2986,7.1665,0.1786,13.9986,9.6904,0.1808,12.8314,6.0423,69.9116,39.0801,35.52,0,0,1,0
0.2893,5.9342,6.492,0.2728,33.4633,0.3414,0.1145,4.9946,3.7254,114.0082,39.9135,11.4434,0,0,1,1
0.23,12.676,9.0674,0.0969,26.829,7.4623,0.1316,13.0867,4.1157,75.5105,11.1576,27.5891,0,0,1,1
0.1154,10.4017,6.714,0.0839,28.3717,5.6828,0.2043,10.8869,0.8309,51.7907,24.4007,2.8918,0,0,1,1
0.1818,6.6138,7.5802,0.2839,24.0398,9.0466,0.1262,8.4379,3.9328,69.0228,18.0734,7.6311,0,0,1,1
0.0929,14.2381,0.3372,0.2976,10.855,2.4439,0.1993,11.5556,5.5829,62.0801,4.4029,37.4509,1,1,0,0
0.0225,1.346,8.6784,0.2153,16.4504,0.8421,0.1849,13.4299,4.2299,57.3105,46.4642,27.0883,0,1,1,0
0.1362,7.7736,7.4731,0.2992,29.4777,0.5204,0.1651,2.0781,5.36,35.1311,25.7817,10.413,0,0,1,1
0.1135,10.2202,6.9869,0.0666,26.4902,8.9549,0.048,6.9708,4.3433,41.4055,41.286,40.5949,0,0,1,0
0.1085,7.5944,4.5035,0.2594,24.0751,3.1581,0.0661,8.542,7.6223,47.2158,47.481,9.7108,0,0,1,1
0.2444,1.4045,6.1717,0.0363,13.4813,3.0951,0.3321,9.2244,2.5586,46.8282,49.1676,10.3663,0,0,1,1
0.1592,6.9086,9.5443,0.1471,24.9612,1.3976,0.039,6.9112,1.8606,111.3124,9.6932,6.1196,0,0,1,1
0.2672,6.5798,9.2653,0.1437,19.7738,5.7919,0.2204,7.154,5.6066,57.6503,31.5847,14.2545,0,0,1,1
0.2639,1.7857,6.6274,0.2211,32.8239,6.7133,0.177,3.7729,3.6099,108.8156,26.7695,14.685,0,0,1,1
0.2653,14.0447,3.0721,0.1247,19.4337,3.3503,0.2731,10.6801,3.6076,62.8091,37.3073,4.2061,0,0,1,1
0.2523,4.7127,4.1198,0.0234,37.0536,8.3604,0.1614,6.7757,1.274,80.7517,14.0482,23.7378,1,0,1,1
0.129,9.2285,9.2785,0.3234,33.7436,7.7577,0.1639,12.1747,4.9976,95.3867,28.0602,2.2116,0,0,1,1
0.2327,7.549,8.4114,0.037,18.5129,3.4361,0.1999,13.4306,7.3216,59.4411,21.8709,41.6426,1,0,0,0
0.3153,4.1597,0.9782,0.2021,9.3897,0.6941,0.2932,2.7971,4.6567,71.8157,10.9564,3.2287,1,1,0,1
0.1687,2.4756,5.4182,0.3353,39.0456,5.346,0.1308,13.493,4.4104,88.8576,38.1334,17.3,1,0,1,1
0.0336,1.9207,0.448,0.2983,37.5871,4.208,0.0425,2.6434,7.9258,115.3667,20.9153,28.2147,1,1,0,1
0.1774,6.1943,7.607,0.1314,37.8909,4.5376,0.2694,9.4954,6.5856,71.7968,35.5569,10.3639,0,0,1,1
0.0623,9.4594,2.9131,0.3461,12.5964,2.1393,0.1436,7.3761,1.5984,72.7056,40.555,18.179,0,1,1,1
0.0935,2.1786,1.6577,0.1533,17.5875,0.7668,0.3286,14.3957,2.6181,98.3501,27.3053,39.3056,1,1,1,0
0.1275,11.1915,6.6523,0.2944,35.8809,7.9046,0.0789,12.5659,3.4413,85.4397,13.748,13.6613,0,0,1,1
0.0606,3.2367,4.3268,0.3011,25.3315,2.6718,0.0782,9.9211,6.8817,92.4236,21.0017,44.3004,0,1,0,0
0.1884,4.7683,5.2667,0.1952,30.4636,9.7269,0.1387,5.2654,3.5745,80.557,10.2139,24.7231,1,0,0,1
0.0978,3.6742,6.5546,0.2859,27.5448,9.6613,0.1969,11.2115,1.7135,49.2994,45.5031,23.1709,0,0,1,1
0.1717,2.3427,9.3958,0.0389,14.3746,3.4011,0.0357,4.3505,4.6052,101.8486,13.0624,23.5515,0,0,0,0
0.1962,13.1968,5.6618,0.0274,18.4525,3.9451,0.1129,9.058,3.7502,77.2246,10.153,36.9293,1,0,0,0
0.2981,9.3976,9.9315,0.0682,6.9748,4.7058,0.1858,7.917,2.6893,69.5801,11.3035,28.2632,0,0,1,0
0.3229,10.825,5.1822,0.054,12.881,2.0337,0.183,5.3198,7.1052,86.1528,29.9061,25.8957,1,1,0,0
0.0626,1.2732,4.725,0.3495,11.9491,2.8876,0.2586,13.7473,5.8173,105.1825,41.094,38.685,0,1,1,0
0.1977,7.5774,4.0714,0.233,24.1693,1.836,0.2348,7.0661,1.0638,77.3108,17.0643,9.6492,0,0,1,1
0.2482,4.7105,5.2588,0.3488,10.1811,3.0279,0.0863,3.0126,1.6482,92.0232,29.4906,32.2752,1,1,1,0
0.1919,4.6436,3.0332,0.2946,38.5144,2.3574,0.0779,4.1499,2.9892,47.3984,45.6303,23.8022,1,0,1,1
0.0824,8.2739,6.9907,0.0514,39.9939,4.639,0.1838,11.844,5.0577,66.5003,35.697,28.1711,0,0,1,1
0.296,5.8685,9.4181,0.2077,37.7535,3.7799,0.2924,13.247,0.7709,77.9257,14.8204,7.7364,0,0,1,1
0.0202,2.5118,8.353,0.3181,13.0535,8.4436,0.0699,10.8071,7.5735,119.6473,47.796,33.898,0,1,0,0
0.1339,4.1235,1.7696,0.0571,7.6277,7.7718,0.0391,8.3818,5.7796,91.5809,23.316,5.0705,1,0,0,1
0.0252,8.7892,4.5126,0.2409,6.6315,9.2554,0.3325,8.2048,6.6219,33.1083,21.539,32.8341,0,0,1,0
0.2057,4.8037,7.5919,0.3286,14.1235,7.7728,0.3184,5.8566,4.0897,98.7039,22.9197,40.9874,0,0,1,0
0.0491,12.1929,9.2647,0.0334,23.0139,4.8819,0.0508,2.5311,1.6367,109.6606,2.6142,42.5193,0,0,0,0
0.2269,10.6186,6.5899,0.2637,26.3569,2.2521,0.3192,12.4687,3.0799,59.863,17.5415,40.402,1,1,1,0
0.155,10.4479,0.9927,0.1242,32.4425,6.5946,0.0981,13.4342,1.423,86.8005,39.6583,44.5458,1,0,1,0
0.0701,7.1093,6.8774,0.2065,24.0164,4.4852,0.2889,9.3358,1.7529,63.9745,34.8348,43.3199,0,0,1,0
0.2783,14.8964,7.4812,0.2343,37.0074,6.6242,0.2848,8.0298,7.8851,66.7122,5.8002,21.4634,0,0,0,1
0.3035,7.5208,6.4907,0.2176,25.2938,8.5796,0.1678,13.1637,3.7393,116.4415,20.8393,5.0027,0,0,1,1
0.171,9.5248,2.2893,0.2453,9.7264,0.5442,0.2318,11.873,6.2469,66.7987,12.3219,22.2046,1,1,0,0
0.1934,5.1569,4.4542,0.1337,26.1051,5.1369,0.1637,4.4777,3.8343,67.881,24.7616,32.389,1,0,1,0
0.1381,5.8576,9.4975,0.1769,34.7144,6.6633,0.0969,7.1777,5.5542,61.235,49.6382,26.6783,0,0,1,1
0.2623,2.2431,6.4846,0.332,25.7518,6.4933,0.1901,9.6826,4.6396,85.1889,11.8078,33.0202,1,1,0,0
0.0933,4.5534,6.1903,0.0857,22.2317,4.9295,0.1112,6.2093,3.3114,79.3789,9.0694,32.6561,0,0,0,0
0.0579,14.6188,1.5954,0.1454,38.7457,2.0814,0.1797,10.5865,6.3075,60.2164,31.5392,23.5265,0,0,1,1
0.322,2.2644,5.0796,0.25,20.6473,8.7956,0.2297,12.7707,3.074,55.0296,34.5038,20.1055,1,0,1,1
0.1952,1.6084,4.0663,0.1464,38.7158,5.7794,0.1795,8.9046,1.9999,32.0149,36.9295,19.2908,1,0,1,1
0.1099,9.1158,8.4471,0.2172,39.0163,5.3226,0.0659,6.6405,4.5679,79.7259,12.091,21.8228,0,0,0,1
0.0896,13.3097,9.4587,0.2666,34.4504,6.0715,0.1316,3.536,6.062,40.5652,21.0667,23.6866,0,0,1,1
0.2592,14.4168,3.884,0.0275,15.3496,1.78,0.1832,8.4579,0.8059,119.7565,48.2319,37.3737,1,0,1,0
0.3429,13.6891,3.6107,0.1838,8.6312,5.2371,0.0635,6.9629,5.3343,116.0395,12.8569,37.8615,1,1,0,0
0.24,11.2016,5.6535,0.032,39.3481,5.0552,0.1701,2.7342,5.3441,42.0647,39.3511,34.8618,1,0,1,1
0.2776,2.6204,6.4955,0.2996,36.2344,0.4627,0.1756,2.9578,6.006,40.6821,28.5168,19.02,1,1,0,1
0.3435,1.4277,9.741,0.0558,11.4682,6.2857,0.0299,11.3108,1.1295,98.2036,35.4324,7.2135,0,0,1,1
0.0508,2.9491,9.69,0.3084,6.4257,3.661,0.0447,8.7334,2.5716,87.0367,16.5898,41.9998,0,1,0,0
0.3246,1.4416,3.7573,0.2111,26.7118,8.1466,0.1929,3.1204,1.7999,80.7398,40.8595,30.9247,1,0,1,0
0.1059,9.9005,6.2434,0.0982,23.5173,2.931,0.0227,12.0818,2.9192,115.4352,2.1638,18.5094,0,0,0,1
0.3389,1.5976,8.789,0.0314,21.2961,8.1806,0.1272,3.8287,3.6043,65.7304,41.167,42.2749,1,0,1,0
0.1486,12.5844,2.1601,0.1498,16.3772,6.0997,0.0309,4.9727,7.2495,66.5543,41.9875,17.2477,1,1,0,1
0.1569,7.3075,9.7124,0.2039,9.0316,1.7244,0.1969,14.9531,4.7529,103.846,24.1908,2.4444,0,1,1,1
0.3044,1.3533,9.0072,0.1982,18.9745,7.5883,0.1094,14.4166,1.2693,59.5489,26.5381,39.5598,1,0,1,0
0.2709,2.8999,7.4158,0.16,30.4079,1.7102,0.0381,10.6119,5.7585,112.411,23.9062,7.9962,1,1,0,1
0.1719,5.1919,8.0544,0.1638,37.6873,4.9466,0.3002,5.2007,7.4056,50.5336,38.9418,21.0995,0,0,1,1
0.3396,5.8561,7.3791,0.12,35.3319,1.7042,0.0698,14.343,6.5303,32.4138,48.0296,8.2332,1,1,0,1
0.0896,7.151,1.4687,0.1597,35.5404,4.6101,0.1156,3.9416,7.0641,89.889,14.6929,35.8307,1,0,0,1
0.0281,4.4174,6.4793,0.1314,34.3283,8.8056,0.0932,6.9049,4.0502,98.9509,9.6298,26.206,0,0,0,1
0.1323,8.8501,4.663,0.2718,27.608,3.8931,0.1754,12.8531,6.36,40.2786,28.7768,26.4536,1,1,0,1
0.2408,8.014,4.698,0.1143,38.1535,8.0564,0.1695,14.2429,4.1248,76.3279,16.5703,8.075,0,0,1,1
0.3139,9.8186,8.2715,0.2574,28.2152,3.6087,0.3392,4.9796,4.5932,34.8976,47.0286,34.3327,1,1,1,1
0.0824,7.3539,4.1985,0.275,37.3609,2.0083,0.0257,7.7389,1.1714,62.478,46.7872,20.2016,0,0,1,1
0.1466,9.2715,2.5199,0.3394,6.0451,2.9827,0.1412,9.8737,0.5104,76.4749,47.4852,15.0044,1,1,1,1
0.1664,13.5599,1.539,0.2538,24.0132,5.3175,0.1854,4.7121,5.3988,85.2953,32.776,36.1578,1,1,1,1
0.0754,4.6754,3.8308,0.2578,37.8414,9.4574,0.0698,9.2614,2.1762,47.2196,19.0658,15.4048,0,0,1,1
0.0372,3.4265,7.6719,0.197,23.3658,1.8388,0.0681,5.4328,0.5922,118.4398,24.7309,9.8161,0,0,1,1
0.1172,8.206,3.2357,0.3464,12.7067,5.9302,0.2417,8.1591,6.9297,104.2776,14.8891,3.8254,0,0,1,1
0.0749,5.5016,0.8558,0.1459,8.5263,9.3389,0.1311,6.914,6.0337,42.2109,32.9673,44.4436,1,0,1,0
0.0724,6.8514,7.4171,0.2897,7.5994,7.7987,0.0689,9.6434,5.1785,78.4936,31.6316,33.3173,0,0,1,0
0.1886,14.8838,6.4598,0.2258,36.5102,2.1518,0.3049,3.4852,0.5759,72.2463,36.2989,43.1018,1,1,1,1
0.0894,3.9452,9.6431,0.0906,21.5423,3.1214,0.1124,5.4216,5.0115,109.134,34.3875,44.958,0,0,1,0
