情形,"策略(x1,x2,x3,x4)",解析利润,模拟利润,误差%,解析最优,模拟最优
6,"(0,1,0,0)",19.346,19.4044,0.302,,
6,"(1,1,0,0)",19.241,19.2339,0.037,,
6,"(1,0,1,0)",19.085,19.1326,0.25,,
6,"(0,0,0,1)",18.6844,18.7348,0.27,,
6,"(1,1,0,1)",18.2936,18.2858,0.043,,
6,"(0,1,0,1)",17.4014,17.4883,0.5,,
6,"(1,0,1,1)",17.1404,17.2143,0.431,,
6,"(0,1,1,0)",17.1022,17.1496,0.277,,
6,"(0,0,1,1)",16.8488,16.893,0.262,,
6,"(1,1,1,0)",16.6094,16.6026,0.041,,
6,"(1,1,1,1)",15.662,15.6545,0.048,,
6,"(0,1,1,1)",15.1576,15.2335,0.501,,
